Menace 2: O
X________; O; {(1, 2): O: 44, (1, 3): O: 83, (3, 3): O: 1010}
X___X___O; O; {(1, 3): O: 740, (2, 3): O: 3}
X___XO_XO; O; {(1, 2): O: 2, (1, 3): O: 21, (2, 1): O: 5, (3, 1): O: 7}
XO__XOXXO; O; {(1, 3): O: 12, (2, 1): O: 2}
____X____; O; {(1, 1): O: 219, (1, 2): O: 3}
_O_XX____; O; {(1, 1): O: 11, (1, 3): O: 3, (3, 2): O: 4, (3, 3): O: 1}
_OOXX_X__; O; {(1, 1): O: 15, (2, 3): O: 3, (3, 2): O: 2, (3, 3): O: 5}
_OOXX_XXO; O; {(1, 1): O: 6, (2, 3): O: 12}
X_X_O____; O; {(1, 2): O: 3, (2, 1): O: 2, (3, 1): O: 3, (3, 2): O: 3}
X_O___X__; O; {(1, 2): O: 3, (2, 1): O: 2, (2, 2): O: 3, (2, 3): O: 3, (3, 2): O: 3, (3, 3): O: 3}
X_O_XOX__; O; {(1, 2): O: 2, (2, 1): O: 6, (3, 2): O: 2, (3, 3): O: 21}
_X_______; O; {(2, 2): O: 321, (3, 1): O: 9, (3, 2): O: 41}
OX___X___; O; {(1, 3): O: 2, (2, 1): O: 3, (2, 2): O: 6, (3, 1): O: 3, (3, 2): O: 2, (3, 3): O: 3}
OX__XX_O_; O; {(1, 3): O: 11, (2, 1): O: 51, (3, 1): O: 4, (3, 3): O: 1}
X____OX__; O; {(1, 2): O: 2, (1, 3): O: 3, (2, 1): O: 3, (2, 2): O: 3}
XOX__OX__; O; {(2, 2): O: 5, (3, 2): O: 2, (3, 3): O: 2}
X_O__XXO_; O; {(2, 1): O: 12, (3, 3): O: 3}
X_O_XX__O; O; {(2, 1): O: 665, (3, 2): O: 7}
X_OOXXX_O; O; {(1, 2): O: 365}
XX______O; O; {(1, 3): O: 326}
XX____OXO; O; {(1, 3): O: 2, (2, 1): O: 3, (2, 2): O: 6, (2, 3): O: 3}
XX____O__; O; {(1, 3): O: 75, (2, 2): O: 1}
X___OX___; O; {(1, 2): O: 4, (1, 3): O: 65, (2, 1): O: 1, (3, 1): O: 2, (3, 2): O: 51, (3, 3): O: 56}
XX__OX__O; O; {(1, 3): O: 9, (2, 1): O: 3, (3, 1): O: 7, (3, 2): O: 3}
XX_OOX_XO; O; {(1, 3): O: 9, (3, 1): O: 1}
XXO______; O; {(2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (3, 1): O: 6, (3, 2): O: 6, (3, 3): O: 3}
XXO_X__O_; O; {(2, 1): O: 1, (2, 3): O: 3, (3, 1): O: 4, (3, 3): O: 28}
XXO_XX_OO; O; {(2, 1): O: 8, (3, 1): O: 24}
X___XO___; O; {(1, 2): O: 3, (1, 3): O: 6, (2, 1): O: 3, (3, 1): O: 3, (3, 2): O: 2, (3, 3): O: 7}
X_X_XO_O_; O; {(1, 2): O: 1, (2, 1): O: 1, (3, 1): O: 3, (3, 3): O: 4}
_X__O__X_; O; {(1, 1): O: 57, (2, 1): O: 7}
OX_XO__X_; O; {(1, 3): O: 6, (2, 3): O: 6, (3, 1): O: 3, (3, 3): O: 6}
XX__O____; O; {(1, 3): O: 38, (2, 1): O: 14, (2, 3): O: 18, (3, 1): O: 23, (3, 2): O: 1}
XX__O_O_X; O; {(1, 3): O: 18, (2, 1): O: 2, (2, 3): O: 3, (3, 2): O: 2}
XO__X____; O; {(1, 3): O: 3, (2, 1): O: 3, (2, 3): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3}
XO_XXO___; O; {(1, 3): O: 2, (3, 1): O: 5, (3, 2): O: 2, (3, 3): O: 3}
XOXXXOO__; O; {(3, 3): O: 12}
_X_OX_O_X; O; {(1, 1): O: 12, (1, 3): O: 3, (2, 3): O: 1, (3, 2): O: 3}
X_O_X____; O; {(1, 2): O: 1, (2, 1): O: 3, (2, 3): O: 14, (3, 1): O: 2, (3, 2): O: 3, (3, 3): O: 14}
XXO_X___O; O; {(2, 1): O: 3, (2, 3): O: 18, (3, 1): O: 3, (3, 2): O: 6}
XOXOX____; O; {(2, 3): O: 1, (3, 2): O: 2, (3, 3): O: 4}
X__X_O___; O; {(1, 2): O: 4, (1, 3): O: 2, (2, 2): O: 2, (3, 1): O: 2, (3, 2): O: 5, (3, 3): O: 6}
XO______X; O; {(1, 3): O: 2, (2, 1): O: 5, (2, 2): O: 15, (2, 3): O: 3, (3, 1): O: 9}
XO___XO_X; O; {(1, 3): O: 3, (2, 1): O: 2, (2, 2): O: 9, (3, 2): O: 2}
XO_XOXO_X; O; {(1, 3): O: 15, (3, 2): O: 12}
XXOO__X__; O; {(2, 2): O: 3, (2, 3): O: 28, (3, 2): O: 5, (3, 3): O: 5}
